3301010,3301,DAYEUHLUHUR
3301020,3301,WANAREJA
3301030,3301,MAJENANG
3301040,3301,CIMANGGU
3301050,3301,KARANGPUCUNG
3301060,3301,CIPARI
3301070,3301,SIDAREJA
3301080,3301,KEDUNGREJA
3301090,3301,PATIMUAN
3301100,3301,GANDRUNGMANGU
3301110,3301,BANTARSARI
3301120,3301,KAWUNGANTEN
3301121,3301,KAMPUNG LAUT
3301130,3301,JERUKLEGI
3301140,3301,KESUGIHAN
3301150,3301,ADIPALA
3301160,3301,MAOS
3301170,3301,SAMPANG
3301180,3301,KROYA
3301190,3301,BINANGUN
3301200,3301,NUSAWUNGU
3301710,3301,CILACAP SELATAN
3301720,3301,CILACAP TENGAH
3301730,3301,CILACAP UTARA
3302010,3302,LUMBIR
3302020,3302,WANGON
3302030,3302,JATILAWANG
3302040,3302,RAWALO
3302050,3302,KEBASEN
3302060,3302,KEMRANJEN
3302070,3302,SUMPIUH
3302080,3302,TAMBAK
3302090,3302,SOMAGEDE
3302100,3302,KALIBAGOR
3302110,3302,BANYUMAS
3302120,3302,PATIKRAJA
3302130,3302,PURWOJATI
3302140,3302,AJIBARANG
3302150,3302,GUMELAR
3302160,3302,PEKUNCEN
3302170,3302,CILONGOK
3302180,3302,KARANGLEWAS
3302190,3302,KEDUNG BANTENG
3302200,3302,BATURRADEN
3302210,3302,SUMBANG
3302220,3302,KEMBARAN
3302230,3302,SOKARAJA
3302710,3302,PURWOKERTO SELATAN
3302720,3302,PURWOKERTO BARAT
3302730,3302,PURWOKERTO TIMUR
3302740,3302,PURWOKERTO UTARA
3303010,3303,KEMANGKON
3303020,3303,BUKATEJA
3303030,3303,KEJOBONG
3303040,3303,PENGADEGAN
3303050,3303,KALIGONDANG
3303060,3303,PURBALINGGA
3303070,3303,KALIMANAH
3303080,3303,PADAMARA
3303090,3303,KUTASARI
3303100,3303,BOJONGSARI
3303110,3303,MREBET
3303120,3303,BOBOTSARI
3303130,3303,KARANGREJA
3303131,3303,KARANGJAMBU
3303140,3303,KARANGANYAR
3303141,3303,KERTANEGARA
3303150,3303,KARANGMONCOL
3303160,3303,REMBANG
3304010,3304,SUSUKAN
3304020,3304,PURWAREJA KLAMPOK
3304030,3304,MANDIRAJA
3304040,3304,PURWANEGARA
3304050,3304,BAWANG
3304060,3304,BANJARNEGARA
3304061,3304,PAGEDONGAN
3304070,3304,SIGALUH
3304080,3304,MADUKARA
3304090,3304,BANJARMANGU
3304100,3304,WANADADI
3304110,3304,RAKIT
3304120,3304,PUNGGELAN
3304130,3304,KARANGKOBAR
3304140,3304,PAGENTAN
3304150,3304,PEJAWARAN
3304160,3304,BATUR
3304170,3304,WANAYASA
3304180,3304,KALIBENING
3304181,3304,PANDANARUM
3305010,3305,AYAH
3305020,3305,BUAYAN
3305030,3305,PURING
3305040,3305,PETANAHAN
3305050,3305,KLIRONG
3305060,3305,BULUSPESANTREN
3305070,3305,AMBAL
3305080,3305,MIRIT
3305081,3305,BONOROWO
3305090,3305,PREMBUN
3305091,3305,PADURESO
3305100,3305,KUTOWINANGUN
3305110,3305,ALIAN
3305111,3305,PONCOWARNO
3305120,3305,KEBUMEN
3305130,3305,PEJAGOAN
3305140,3305,SRUWENG
3305150,3305,ADIMULYO
3305160,3305,KUWARASAN
3305170,3305,ROWOKELE
3305180,3305,SEMPOR
3305190,3305,GOMBONG
3305200,3305,KARANGANYAR
3305210,3305,KARANGGAYAM
3305220,3305,SADANG
3305221,3305,KARANGSAMBUNG
3306010,3306,GRABAG
3306020,3306,NGOMBOL
3306030,3306,PURWODADI
3306040,3306,BAGELEN
3306050,3306,KALIGESING
3306060,3306,PURWOREJO
3306070,3306,BANYU URIP
3306080,3306,BAYAN
3306090,3306,KUTOARJO
3306100,3306,BUTUH
3306110,3306,PITURUH
3306120,3306,KEMIRI
3306130,3306,BRUNO
3306140,3306,GEBANG
3306150,3306,LOANO
3306160,3306,BENER
3307010,3307,WADASLINTANG
3307020,3307,KEPIL
3307030,3307,SAPURAN
3307031,3307,KALIBAWANG
3307040,3307,KALIWIRO
3307050,3307,LEKSONO
3307051,3307,SUKOHARJO
3307060,3307,SELOMERTO
3307070,3307,KALIKAJAR
3307080,3307,KERTEK
3307090,3307,WONOSOBO
3307100,3307,WATUMALANG
3307110,3307,MOJOTENGAH
3307120,3307,GARUNG
3307130,3307,KEJAJAR
3308010,3308,SALAMAN
3308020,3308,BOROBUDUR
3308030,3308,NGLUWAR
3308040,3308,SALAM
3308050,3308,SRUMBUNG
3308060,3308,DUKUN
3308070,3308,MUNTILAN
3308080,3308,MUNGKID
3308090,3308,SAWANGAN
3308100,3308,CANDIMULYO
3308110,3308,MERTOYUDAN
3308120,3308,TEMPURAN
3308130,3308,KAJORAN
3308140,3308,KALIANGKRIK
3308150,3308,BANDONGAN
3308160,3308,WINDUSARI
3308170,3308,SECANG
3308180,3308,TEGALREJO
3308190,3308,PAKIS
3308200,3308,GRABAG
3308210,3308,NGABLAK
3309010,3309,SELO
3309020,3309,AMPEL
3309030,3309,CEPOGO
3309040,3309,MUSUK
3309050,3309,BOYOLALI
3309060,3309,MOJOSONGO
3309070,3309,TERAS
3309080,3309,SAWIT
3309090,3309,BANYUDONO
3309100,3309,SAMBI
3309110,3309,NGEMPLAK
3309120,3309,NOGOSARI
3309130,3309,SIMO
